ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [s],Runtime Improvement [s],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
684,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.41%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
685,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.90%),0.00,37.21 (+1784.29%),69.84 (+346.52%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
686,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15862.93%),0.00,11.09 (+461.67%),49.90 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
687,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.83 (+1106.91%),90.70 (+479.85%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
688,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.17%),0.00,1.49  (-24.56%),15.00   (-4.12%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
689,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11877.97%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
690,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.42 (+1693.58%),83.34 (+432.79%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
691,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.89%),0.00,72.39 (+3565.75%),48.21 (+208.24%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
692,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.72%),0.00,64.56 (+3169.28%),44.46 (+184.24%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
693,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2725.93%),0.00,2.61  (+32.06%),51.33 (+228.14%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
694,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-15.03%),0.00,86.87 (+4299.04%),58.35 (+273.02%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
695,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.22 (+3557.04%),58.64 (+274.88%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
696,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.77%),0.00,11.10 (+462.10%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
697,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.80 (+1105.07%),90.16 (+476.40%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
698,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.30%),0.00,1.48  (-25.08%),15.00   (-4.10%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
699,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.39%),0.00,11.11 (+462.67%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
700,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.91%),0.00,37.22 (+1784.93%),69.97 (+347.34%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
701,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.18%),0.00,11.09 (+461.64%),49.90 (+219.04%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
702,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.87 (+1108.82%),90.66 (+479.62%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
703,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.35%),0.00,1.48  (-24.85%),14.99   (-4.15%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
704,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.28%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
705,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.11%),0.00,35.49 (+1697.15%),83.28 (+432.41%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
706,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.85%),0.00,72.37 (+3564.51%),48.19 (+208.12%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
707,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.67%),0.00,64.59 (+3170.42%),44.42 (+184.02%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
708,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2713.88%),0.00,2.61  (+31.99%),51.88 (+231.66%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
709,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.91%),0.00,86.84 (+4297.57%),58.22 (+272.21%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
710,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.25 (+3558.45%),58.66 (+275.01%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
711,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.63%),0.00,11.10 (+462.10%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
712,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.04%),0.00,23.91 (+1110.54%),90.41 (+478.00%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
713,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.12%),0.00,1.50  (-23.95%),15.01   (-4.05%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
714,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.80%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
715,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.91%),0.00,37.31 (+1789.14%),70.02 (+347.64%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
716,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.44%),0.00,11.09 (+461.65%),49.90 (+219.04%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
717,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.81 (+1105.50%),90.56 (+478.99%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
718,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.08%),0.00,1.48  (-24.99%),14.98   (-4.21%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
719,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.28%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
720,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.13%),0.00,35.48 (+1696.55%),83.51 (+433.93%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
721,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.96%),0.00,72.36 (+3564.31%),48.20 (+208.13%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
722,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.71%),0.00,64.60 (+3171.05%),44.46 (+184.22%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
723,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2726.17%),0.00,2.60  (+31.53%),50.65 (+223.82%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
724,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-15.02%),0.00,86.82 (+4296.28%),58.28 (+272.63%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
725,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.26 (+3558.94%),58.69 (+275.24%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
726,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.82%),0.00,11.10 (+462.03%),49.89 (+218.97%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
727,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.05%),0.00,23.94 (+1112.02%),90.54 (+478.85%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
728,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.30%),0.00,1.47  (-25.69%),15.01   (-4.06%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
729,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.50%),0.00,11.11 (+462.68%),49.95 (+219.34%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
730,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.87%),0.00,37.12 (+1779.80%),69.73 (+345.79%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
731,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.30%),0.00,11.09 (+461.69%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
732,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.00%),0.00,23.75 (+1102.54%),90.32 (+477.46%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
733,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.18%),0.00,1.48  (-24.92%),14.96   (-4.33%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
734,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,7.63 (+261397.99%),0.00,11.11 (+462.57%),49.96 (+219.43%),48  (+84.62%),"  256, 3144,    1","   16,   16,    1"
735,0.00,fused_classifier_kernel1,fused_classifier_kernel1..const..,0.01 (+357.11%),0.00,15.80 (+700.06%),75.21 (+380.85%),24   (-7.69%)," 1024,    1,    1","  128,    1,    1"
736,80.00,encoder_forward_kernel1,encoder_forward_kernel1..const..,0.00   (-0.71%),0.00,1.99   (+0.54%),15.57   (-0.45%),26   (+0.00%),"    8,    1,    1","  512,    1,    1"
737,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.92%),0.00,1.49  (-24.30%),14.98   (-4.23%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
738,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.51%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
739,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.50 (+1697.68%),83.52 (+433.95%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
740,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.91%),0.00,72.45 (+3568.44%),48.25 (+208.48%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
741,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.71%),0.00,64.58 (+3170.05%),44.45 (+184.19%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
742,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2764.96%),0.00,2.58  (+30.65%),51.23 (+227.52%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
743,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.45%),0.00,86.94 (+4302.63%),58.04 (+271.08%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
744,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.25 (+3558.30%),58.62 (+274.79%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
745,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.63%),0.00,11.10 (+462.05%),49.89 (+218.98%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
746,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.83 (+1106.88%),90.30 (+477.31%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
747,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.93%),0.00,1.48  (-24.89%),15.00   (-4.08%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
748,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.56%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
749,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.95%),0.00,37.29 (+1788.02%),70.26 (+349.18%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
750,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15862.91%),0.00,11.09 (+461.69%),49.91 (+219.06%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
751,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.81 (+1105.73%),90.50 (+478.61%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
752,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.51%),0.00,1.48  (-25.02%),15.02   (-3.98%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
753,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.36%),0.00,11.11 (+462.51%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
754,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.15%),0.00,35.50 (+1697.74%),83.45 (+433.53%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
755,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.89%),0.00,72.36 (+3564.03%),48.19 (+208.10%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
756,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.69%),0.00,64.62 (+3172.09%),44.45 (+184.17%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
757,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2733.13%),0.00,2.61  (+31.96%),51.22 (+227.49%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
758,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-15.05%),0.00,86.87 (+4298.66%),58.54 (+274.24%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
759,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.24 (+3557.86%),58.67 (+275.10%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
760,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.86%),0.00,11.10 (+462.08%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
761,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.05%),0.00,23.92 (+1111.42%),90.28 (+477.22%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
762,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.83%),0.00,1.50  (-23.82%),15.02   (-3.99%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
763,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.54%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
764,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.96%),0.00,37.34 (+1790.66%),70.17 (+348.65%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
765,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.79%),0.00,11.09 (+461.67%),49.90 (+219.05%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
766,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.77 (+1103.45%),90.34 (+477.56%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
767,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.52%),0.00,1.48  (-25.12%),15.01   (-4.05%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
768,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11877.61%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
769,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.12%),0.00,35.45 (+1694.84%),83.36 (+432.95%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
770,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.80%),0.00,72.42 (+3567.16%),48.23 (+208.34%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
771,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.71%),0.00,64.60 (+3171.16%),44.44 (+184.11%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
772,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2770.62%),0.00,2.59  (+31.05%),51.46 (+229.01%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
773,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.81%),0.00,86.85 (+4297.84%),58.00 (+270.80%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
774,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.22 (+3557.00%),58.66 (+275.06%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
775,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.73%),0.00,11.10 (+462.07%),49.89 (+218.99%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
776,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.81 (+1105.59%),90.68 (+479.72%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
777,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.16%),0.00,1.51  (-23.52%),15.00   (-4.12%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
778,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.44%),0.00,11.11 (+462.68%),49.95 (+219.34%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
779,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.97%),0.00,37.37 (+1792.36%),70.13 (+348.35%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
780,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15862.74%),0.00,11.09 (+461.67%),49.90 (+219.05%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
781,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.79 (+1104.59%),90.23 (+476.90%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
782,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.23%),0.00,1.48  (-24.94%),15.04   (-3.83%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
783,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.09%),0.00,11.11 (+462.50%),49.93 (+219.24%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
784,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.47 (+1696.03%),83.46 (+433.56%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
785,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.88%),0.00,72.38 (+3564.95%),48.20 (+208.16%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
786,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.70%),0.00,64.60 (+3171.15%),44.42 (+184.01%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
787,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2733.87%),0.00,2.60  (+31.59%),51.53 (+229.44%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
788,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.85%),0.00,86.34 (+4272.24%),58.04 (+271.08%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
789,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.22 (+3557.13%),58.75 (+275.64%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
790,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.79%),0.00,11.10 (+462.09%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
791,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.82 (+1106.01%),90.48 (+478.45%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
792,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.80%),0.00,1.50  (-24.03%),15.06   (-3.74%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
793,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.70%),0.00,11.11 (+462.66%),49.95 (+219.33%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
794,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.97%),0.00,37.33 (+1790.41%),70.35 (+349.79%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
795,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15863.62%),0.00,11.09 (+461.70%),49.91 (+219.07%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
796,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.77 (+1103.55%),90.61 (+479.30%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
797,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.06%),0.00,1.48  (-25.07%),15.02   (-3.99%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
798,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.75%),0.00,11.11 (+462.52%),49.93 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
799,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.15%),0.00,35.48 (+1696.65%),83.46 (+433.59%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
800,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.86%),0.00,72.40 (+3566.07%),48.22 (+208.26%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
801,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.75%),0.00,64.59 (+3170.53%),44.44 (+184.15%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
802,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2734.15%),0.00,2.61  (+31.99%),51.17 (+227.13%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
803,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.91%),0.00,87.01 (+4306.09%),57.84 (+269.82%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
804,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.81%),0.00,72.22 (+3556.84%),58.66 (+275.03%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
805,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.87%),0.00,11.10 (+462.06%),49.89 (+218.99%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
806,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.94 (+1112.50%),90.61 (+479.32%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
807,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.04%),0.00,1.47  (-25.41%),15.01   (-4.01%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
808,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15866.63%),0.00,11.11 (+462.68%),49.95 (+219.34%),48  (+84.62%),"  256,  192,    1","   16,   16,    1"
809,0.00,gelu_forward_kernel1,gelu_forward_kernel1..const..,0.00  (-82.89%),0.00,37.23 (+1785.39%),70.01 (+347.60%),16  (-38.46%),"98304,    1,    1","  128,    1,    1"
810,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.47 (+15862.90%),0.00,11.09 (+461.66%),49.90 (+219.05%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
811,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.03%),0.00,23.87 (+1108.55%),90.68 (+479.75%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
812,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.05%),0.00,1.48  (-24.97%),14.94   (-4.50%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
813,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11878.23%),0.00,11.11 (+462.53%),49.94 (+219.26%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
814,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.15%),0.00,35.54 (+1699.48%),83.36 (+432.93%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
815,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.86%),0.00,72.45 (+3568.47%),48.25 (+208.48%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
816,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.68%),0.00,64.58 (+3170.11%),44.44 (+184.10%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
817,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2742.25%),0.00,2.59  (+30.96%),50.74 (+224.39%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
818,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-15.01%),0.00,86.89 (+4300.00%),57.83 (+269.70%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
819,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.24 (+3557.80%),58.60 (+274.63%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
820,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.76%),0.00,11.10 (+462.09%),49.90 (+219.01%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
821,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.01%),0.00,23.78 (+1103.95%),90.55 (+478.90%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
822,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+31.81%),0.00,1.47  (-25.59%),15.00   (-4.08%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
