ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [s],Runtime Improvement [s],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block]
369,80.00,layernorm_forward_kernel1,layernorm_forward_kernel1..const..,0.00  (+32.21%),0.00,1.50  (-24.19%),14.99   (-4.17%),49  (+88.46%),"    8,    1,    1","  512,    1,    1"
370,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.35 (+11877.98%),0.00,11.11 (+462.52%),49.94 (+219.25%),48  (+84.62%),"  256,  144,    1","   16,   16,    1"
371,0.00,permute_kernel1,permute_kernel1(float..const..,0.00  (-88.14%),0.00,35.52 (+1698.64%),83.53 (+434.05%),18  (-30.77%),"12288,    1,    1","  256,    1,    1"
372,0.00,volta_sgemm_128x64_tn,volta_sgemm_128x64_tn,0.00   (+3.93%),0.00,72.30 (+3561.25%),48.15 (+207.85%),122 (+369.23%),"    8,   16,   48","  128,    1,    1"
373,0.00,scale_kernel,"scale_kernel(float *, float, int..",0.00  (-14.70%),0.00,64.57 (+3169.51%),44.44 (+184.10%),16  (-38.46%),"196608,    1,    1","  256,    1,    1"
374,0.00,softmax_forward_kernel1,softmax_forward_kernel1..const..,0.08 (+2742.72%),0.00,2.65  (+34.06%),52.00 (+232.48%),50  (+92.31%),"  192,    1,    1","  256,    1,    1"
375,0.00,volta_sgemm_64x64_nn,volta_sgemm_64x64_nn,0.00  (-14.97%),0.00,86.75 (+4292.89%),58.05 (+271.16%),126 (+384.62%),"    1,   16,   48","   64,    1,    1"
376,0.00,unpermute_kernel1,unpermute_kernel1(const float..,0.00  (-94.80%),0.00,72.24 (+3557.87%),58.71 (+275.35%),17  (-34.62%),"12288,    1,    1","  256,    1,    1"
377,0.00,matmul_forward_kernel1,matmul_forward_kernel1..const..,0.12 (+3895.60%),0.00,11.10 (+462.07%),49.90 (+219.00%),48  (+84.62%),"  256,   48,    1","   16,   16,    1"
378,0.00,residual_forward_kernel1,residual_forward_kernel1..const..,0.00  (-95.02%),0.00,23.81 (+1105.43%),90.36 (+477.71%),16  (-38.46%),"12288,    1,    1","  256,    1,    1"
